Año,Trimestre,Provincia,Mbps (Media de bajada),Tasa de Crecimiento
2021,2,Mendoza,13.47,1.07
2021,2,Misiones,28.69,1.14
2021,2,Neuquén,36.12,1.05
2021,2,Río Negro,23.75,1.08
2021,2,Salta,29.23,1.07
2021,2,San Juan,6.99,1.01
2021,2,San Luis,21.66,1.0
2021,2,Santa Cruz,7.63,1.02
2021,2,Santa Fe,30.7,1.09
2021,2,Santiago Del Estero,12.72,1.1
2021,2,Tierra Del Fuego,8.59,0.98
2021,2,Tucumán,40.3,1.06
2021,3,Buenos Aires,56.25,1.07
2021,3,Capital Federal,77.7,1.07
2021,3,Catamarca,43.44,1.03
2021,3,Chaco,39.12,1.05
2021,3,Chubut,8.18,1.07
2021,3,Córdoba,41.94,1.06
2021,3,Corrientes,32.16,1.06
2021,3,Entre Ríos,29.6,1.07
2021,3,Formosa,26.69,1.11
2021,3,Jujuy,25.98,1.01
2021,3,La Pampa,12.99,1.06
2021,3,La Rioja,38.88,1.01
2021,3,Mendoza,13.37,0.99
2021,3,Misiones,30.88,1.08
2021,3,Neuquén,38.34,1.06
2021,3,Río Negro,25.4,1.07
2021,3,Salta,31.2,1.07
2021,3,San Juan,7.04,1.01
2021,3,San Luis,21.7,1.0
2021,3,Santa Cruz,7.69,1.01
2021,3,Santa Fe,33.12,1.08
2021,3,Santiago Del Estero,13.35,1.05
2021,3,Tierra Del Fuego,9.52,1.11
2021,3,Tucumán,42.1,1.04
2021,4,Buenos Aires,60.22,1.07
2021,4,Capital Federal,82.94,1.07
2021,4,Catamarca,46.38,1.07
2021,4,Chaco,42.34,1.08
2021,4,Chubut,9.08,1.11
2021,4,Córdoba,46.38,1.11
2021,4,Corrientes,35.78,1.11
2021,4,Entre Ríos,33.3,1.13
2021,4,Formosa,28.77,1.08
2021,4,Jujuy,27.14,1.04
2021,4,La Pampa,13.85,1.07
2021,4,La Rioja,39.7,1.02
2021,4,Mendoza,22.23,1.66
2021,4,Misiones,38.9,1.26
2021,4,Neuquén,40.1,1.05
2021,4,Río Negro,27.2,1.07
2021,4,Salta,33.94,1.09
2021,4,San Juan,11.05,1.57
2021,4,San Luis,20.9,0.96
2021,4,Santa Cruz,8.99,1.17
2021,4,Santa Fe,36.03,1.09
2021,4,Santiago Del Estero,13.84,1.04
2021,4,Tierra Del Fuego,10.7,1.12
2021,4,Tucumán,45.16,1.07
2022,1,Buenos Aires,62.5,1.04
2022,1,Capital Federal,88.25,1.06
2022,1,Catamarca,51.22,1.1
2022,1,Chaco,45.84,1.08
2022,1,Chubut,13.4,1.48
2022,1,Córdoba,49.88,1.08
2022,1,Corrientes,38.12,1.07
2022,1,Entre Ríos,35.6,1.07
2022,1,Formosa,30.28,1.05
2022,1,Jujuy,27.69,1.02
2022,1,La Pampa,14.84,1.07
2022,1,La Rioja,41.38,1.04
2022,1,Mendoza,26.2,1.18
2022,1,Misiones,41.88,1.08
2022,1,Neuquén,43.06,1.07
2022,1,Río Negro,31.1,1.14
2022,1,Salta,36.72,1.08
2022,1,San Juan,11.99,1.09
2022,1,San Luis,20.95,1.0
2022,1,Santa Cruz,10.89,1.21
2022,1,Santa Fe,38.88,1.08
2022,1,Santiago Del Estero,14.5,1.05
2022,1,Tierra Del Fuego,10.73,1.0
2022,1,Tucumán,47.25,1.05
2022,2,Buenos Aires,65.5,1.05
2022,2,Capital Federal,94.0,1.07
2022,2,Catamarca,56.56,1.1
2022,2,Chaco,50.62,1.1
2022,2,Chubut,14.91,1.11
2022,2,Córdoba,53.5,1.07
2022,2,Corrientes,43.3,1.14
2022,2,Entre Ríos,40.03,1.12
2022,2,Formosa,28.47,0.94
2022,2,Jujuy,29.39,1.06
2022,2,La Pampa,16.06,1.08
2022,2,La Rioja,43.28,1.05
2022,2,Mendoza,29.72,1.13
2022,2,Misiones,46.22,1.1
2022,2,Neuquén,46.53,1.08
2022,2,Río Negro,33.25,1.07
2022,2,Salta,38.78,1.06
2022,2,San Juan,14.44,1.2
2022,2,San Luis,19.31,0.92
2022,2,Santa Cruz,11.81,1.08
2022,2,Santa Fe,42.0,1.08
2022,2,Santiago Del Estero,16.34,1.13
2022,2,Tierra Del Fuego,10.97,1.02
2022,2,Tucumán,50.1,1.06
2022,3,Buenos Aires,70.2,1.07
2022,3,Capital Federal,101.06,1.08
2022,3,Catamarca,61.0,1.08
2022,3,Chaco,53.22,1.05
2022,3,Chubut,15.57,1.04
2022,3,Córdoba,56.3,1.05
2022,3,Corrientes,45.06,1.04
2022,3,Entre Ríos,42.5,1.06
2022,3,Formosa,30.34,1.07
2022,3,Jujuy,32.44,1.1
2022,3,La Pampa,18.1,1.13
2022,3,La Rioja,44.3,1.02
2022,3,Mendoza,34.16,1.15
2022,3,Misiones,49.3,1.07
2022,3,Neuquén,47.8,1.03
2022,3,Río Negro,34.12,1.03
2022,3,Salta,41.34,1.07
2022,3,San Juan,15.84,1.1
2022,3,San Luis,19.33,1.0
2022,3,Santa Cruz,12.6,1.07
2022,3,Santa Fe,45.16,1.07
2022,3,Santiago Del Estero,17.69,1.08
2022,3,Tierra Del Fuego,11.01,1.0
2022,3,Tucumán,53.38,1.07
2022,4,Buenos Aires,111.0,1.58
2022,4,Capital Federal,182.9,1.81
2022,4,Catamarca,83.3,1.37
2022,4,Chaco,104.0,1.95
2022,4,Chubut,15.92,1.02
2022,4,Córdoba,108.75,1.93
2022,4,Corrientes,94.75,2.1
2022,4,Entre Ríos,87.5,2.06
2022,4,Formosa,72.0,2.37
2022,4,Jujuy,39.3,1.21
2022,4,La Pampa,19.1,1.06
2022,4,La Rioja,61.0,1.38
2022,4,Mendoza,38.75,1.13
2022,4,Misiones,91.25,1.85
2022,4,Neuquén,95.4,1.99
2022,4,Río Negro,75.3,2.21
2022,4,Salta,75.94,1.84
2022,4,San Juan,16.39,1.03
2022,4,San Luis,30.67,1.59
2022,4,Santa Cruz,14.33,1.14
2022,4,Santa Fe,90.3,2.0
2022,4,Santiago Del Estero,34.4,1.94
2022,4,Tierra Del Fuego,13.48,1.22
2022,4,Tucumán,88.3,1.66
