Año,Trimestre,Provincia,Mbps (Media de bajada),Tasa de Crecimiento
2015,3,Santa Cruz,3.48,1.0
2015,3,Santa Fe,4.56,1.06
2015,3,Santiago Del Estero,3.91,1.05
2015,3,Tierra Del Fuego,3.48,1.0
2015,3,Tucumán,4.57,1.06
2015,4,Buenos Aires,4.88,1.04
2015,4,Capital Federal,5.93,1.05
2015,4,Catamarca,4.12,1.06
2015,4,Chaco,5.83,1.07
2015,4,Chubut,3.28,1.0
2015,4,Córdoba,5.07,1.04
2015,4,Corrientes,5.26,1.04
2015,4,Entre Ríos,5.01,1.05
2015,4,Formosa,4.66,1.12
2015,4,Jujuy,3.72,1.05
2015,4,La Pampa,2.94,1.01
2015,4,La Rioja,4.52,1.06
2015,4,Mendoza,3.5,1.0
2015,4,Misiones,5.9,1.05
2015,4,Neuquén,4.36,1.03
2015,4,Río Negro,3.77,1.01
2015,4,Salta,4.67,1.06
2015,4,San Juan,3.48,1.0
2015,4,San Luis,3.5,1.0
2015,4,Santa Cruz,3.48,1.0
2015,4,Santa Fe,4.81,1.05
2015,4,Santiago Del Estero,4.09,1.05
2015,4,Tierra Del Fuego,3.47,1.0
2015,4,Tucumán,4.88,1.07
2016,1,Buenos Aires,4.99,1.02
2016,1,Capital Federal,6.05,1.02
2016,1,Catamarca,4.2,1.02
2016,1,Chaco,5.99,1.03
2016,1,Chubut,3.38,1.03
2016,1,Córdoba,5.16,1.02
2016,1,Corrientes,5.37,1.02
2016,1,Entre Ríos,5.08,1.01
2016,1,Formosa,4.87,1.05
2016,1,Jujuy,3.77,1.01
2016,1,La Pampa,3.05,1.04
2016,1,La Rioja,4.62,1.02
2016,1,Mendoza,3.5,1.0
2016,1,Misiones,6.0,1.02
2016,1,Neuquén,4.42,1.01
2016,1,Río Negro,3.83,1.02
2016,1,Salta,4.74,1.01
2016,1,San Juan,3.49,1.0
2016,1,San Luis,3.5,1.0
2016,1,Santa Cruz,3.48,1.0
2016,1,Santa Fe,4.9,1.02
2016,1,Santiago Del Estero,4.17,1.02
2016,1,Tierra Del Fuego,3.48,1.0
2016,1,Tucumán,5.0,1.02
2016,2,Buenos Aires,5.42,1.09
2016,2,Capital Federal,6.58,1.09
2016,2,Catamarca,4.36,1.04
2016,2,Chaco,6.3,1.05
2016,2,Chubut,3.34,0.99
2016,2,Córdoba,5.52,1.07
2016,2,Corrientes,5.6,1.04
2016,2,Entre Ríos,5.13,1.01
2016,2,Formosa,5.1,1.05
2016,2,Jujuy,3.84,1.02
2016,2,La Pampa,3.15,1.03
2016,2,La Rioja,4.77,1.03
2016,2,Mendoza,3.5,1.0
2016,2,Misiones,6.23,1.04
2016,2,Neuquén,4.87,1.1
2016,2,Río Negro,3.98,1.04
2016,2,Salta,4.75,1.0
2016,2,San Juan,3.49,1.0
2016,2,San Luis,3.5,1.0
2016,2,Santa Cruz,3.5,1.01
2016,2,Santa Fe,5.14,1.05
2016,2,Santiago Del Estero,4.31,1.03
2016,2,Tierra Del Fuego,3.48,1.0
2016,2,Tucumán,5.2,1.04
2016,3,Buenos Aires,5.91,1.09
2016,3,Capital Federal,7.38,1.12
2016,3,Catamarca,4.73,1.08
2016,3,Chaco,6.72,1.07
2016,3,Chubut,3.34,1.0
2016,3,Córdoba,6.07,1.1
2016,3,Corrientes,5.96,1.06
2016,3,Entre Ríos,5.59,1.09
2016,3,Formosa,5.42,1.06
2016,3,Jujuy,4.22,1.1
2016,3,La Pampa,3.14,1.0
2016,3,La Rioja,5.08,1.06
2016,3,Mendoza,3.51,1.0
2016,3,Misiones,6.74,1.08
2016,3,Neuquén,5.29,1.09
2016,3,Río Negro,4.16,1.05
2016,3,Salta,5.05,1.06
2016,3,San Juan,3.49,1.0
2016,3,San Luis,3.5,1.0
2016,3,Santa Cruz,3.54,1.01
2016,3,Santa Fe,5.68,1.11
2016,3,Santiago Del Estero,4.67,1.08
2016,3,Tierra Del Fuego,3.48,1.0
2016,3,Tucumán,5.54,1.07
2016,4,Buenos Aires,6.35,1.07
2016,4,Capital Federal,7.96,1.08
2016,4,Catamarca,4.89,1.03
2016,4,Chaco,7.08,1.05
2016,4,Chubut,3.41,1.02
2016,4,Córdoba,6.47,1.07
2016,4,Corrientes,6.24,1.05
2016,4,Entre Ríos,5.81,1.04
2016,4,Formosa,5.63,1.04
2016,4,Jujuy,4.32,1.02
2016,4,La Pampa,3.19,1.02
2016,4,La Rioja,5.34,1.05
2016,4,Mendoza,3.51,1.0
2016,4,Misiones,7.11,1.05
2016,4,Neuquén,5.68,1.07
2016,4,Río Negro,4.37,1.05
2016,4,Salta,5.22,1.03
2016,4,San Juan,3.49,1.0
2016,4,San Luis,3.5,1.0
2016,4,Santa Cruz,3.56,1.01
2016,4,Santa Fe,6.04,1.06
2016,4,Santiago Del Estero,4.87,1.04
2016,4,Tierra Del Fuego,3.48,1.0
2016,4,Tucumán,5.73,1.03
2017,1,Buenos Aires,6.68,1.05
2017,1,Capital Federal,8.35,1.05
2017,1,Catamarca,4.97,1.02
2017,1,Chaco,7.31,1.03
2017,1,Chubut,3.44,1.01
2017,1,Córdoba,6.8,1.05
2017,1,Corrientes,6.43,1.03
2017,1,Entre Ríos,5.95,1.02
2017,1,Formosa,5.74,1.02
2017,1,Jujuy,4.39,1.02
2017,1,La Pampa,3.22,1.01
2017,1,La Rioja,5.43,1.02
2017,1,Mendoza,3.51,1.0
2017,1,Misiones,7.34,1.03
2017,1,Neuquén,6.03,1.06
2017,1,Río Negro,4.45,1.02
2017,1,Salta,5.34,1.02
2017,1,San Juan,3.49,1.0
2017,1,San Luis,3.5,1.0
2017,1,Santa Cruz,3.59,1.01
2017,1,Santa Fe,6.28,1.04
2017,1,Santiago Del Estero,4.95,1.02
2017,1,Tierra Del Fuego,3.48,1.0
2017,1,Tucumán,5.88,1.03
2017,2,Buenos Aires,7.2,1.08
2017,2,Capital Federal,8.84,1.06
2017,2,Catamarca,5.1,1.03
2017,2,Chaco,7.69,1.05
2017,2,Chubut,3.45,1.0
2017,2,Córdoba,7.42,1.09
2017,2,Corrientes,6.79,1.06
2017,2,Entre Ríos,6.29,1.06
2017,2,Formosa,6.18,1.08
2017,2,Jujuy,4.54,1.03
2017,2,La Pampa,3.32,1.03
2017,2,La Rioja,5.53,1.02
2017,2,Mendoza,3.51,1.0
2017,2,Misiones,7.6,1.04
2017,2,Neuquén,6.7,1.11
2017,2,Río Negro,4.74,1.07
2017,2,Salta,5.76,1.08
2017,2,San Juan,3.49,1.0
2017,2,San Luis,3.5,1.0
2017,2,Santa Cruz,3.6,1.0
