Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total
2017,4,Corrientes,11,5220,9097,71715,7500,0,0,93543
2017,4,Entre Ríos,1685,9078,32346,138319,11091,1,0,192520
2017,4,Formosa,1110,4061,1718,23365,1757,0,0,32011
2017,4,Jujuy,345,5364,9524,28270,44,0,0,43547
2017,4,La Pampa,310,8729,53279,14793,469,0,0,77580
2017,4,La Rioja,9,1488,31593,19080,25,0,0,52195
2017,4,Mendoza,26,1656,18978,159384,104,0,0,180148
2017,4,Misiones,1053,3900,6575,80541,11575,0,0,103644
2017,4,Neuquén,1396,2372,27656,64486,13148,0,0,109058
2017,4,Río Negro,409,5598,7730,86335,5642,0,0,105714
2017,4,Salta,636,4275,21787,103307,3633,0,0,133638
2017,4,San Juan,22,1062,1705,55829,4,0,0,58622
2017,4,San Luis,59,101,1142,11688,8,0,0,12998
2017,4,Santa Cruz,68,78,11019,18809,4,0,0,29978
2017,4,Santa Fe,3109,34132,119077,451189,46196,1,1,653705
2017,4,Santiago Del Estero,41,3091,28788,36888,34,0,0,68842
2017,4,Tierra Del Fuego,6,310,9429,21907,0,0,0,31652
2017,4,Tucumán,105,8164,8185,140124,1303,0,0,157881
