Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
BUENOS AIRES,Tres De Febrero,El Libertador,15270,1,1,0,0,0,0,1,1,1,6840010.0,-34.5564986200599,-58.622337837699
BUENOS AIRES,Tres De Febrero,Jose Ingenieros,7300,1,1,0,1,0,1,1,1,1,6840010.0,-34.6171528691842,-58.5342186326877
CORDOBA,San Javier,El Pueblito,0,0,0,0,0,0,0,0,0,0,14133080.0,-31.951097322144,-65.0721507920682
CORDOBA,San Javier,El Valle,0,0,0,0,0,0,0,0,0,0,14133080.0,-31.951097322144,-65.0721507920682
CORDOBA,San Javier,La Paz,1189,0,0,0,0,1,1,1,1,1,14133060.0,-32.2172752387548,-65.0511157108409
CORDOBA,San Javier,La Población,504,0,0,0,0,0,1,0,0,0,14133070.0,-32.0660031804969,-65.0309086009182
CORDOBA,San Javier,La Ramada,60,0,0,0,0,0,1,0,0,0,14133080.0,-32.2996521283095,-65.0361512187387
CORDOBA,San Javier,La Travesía,168,0,0,0,0,0,1,0,0,0,14133090.0,-32.1066758248056,-65.063758957899
CORDOBA,San Javier,Las Chacras,535,0,0,0,1,0,0,0,0,0,14133095.0,-32.2418447787663,-65.0340964238205
CORDOBA,San Javier,Las Tapias,719,0,0,0,0,0,1,0,1,1,14133100.0,-31.9522279195169,-65.1014219744873
CORDOBA,San Javier,Loma Bola,418,0,0,0,0,0,1,0,0,0,14133105.0,-32.2189295558758,-65.0285126897579
CORDOBA,San Javier,Los Cerrillos,2283,0,0,0,0,0,1,1,1,1,14133110.0,-31.9737899960039,-65.4376442516279
CORDOBA,San Javier,Los Hornillos,920,1,0,0,0,0,1,1,1,1,14133120.0,-31.9017353099654,-64.9900890034519
CORDOBA,San Javier,Los Molles,184,0,0,0,0,0,1,0,0,0,14133130.0,-31.9620954005051,-65.0383138664304
CORDOBA,San Javier,Los Romeros,0,0,0,0,0,0,1,0,0,0,14133040.0,-32.1379667827758,-65.223236085238
CORDOBA,San Javier,Luyaba,727,0,0,0,0,0,1,1,0,1,14133150.0,-32.1483422464594,-65.056618698571
CORDOBA,San Javier,Quebracho Ladeado,165,0,0,0,0,0,1,0,0,0,14133155.0,-32.2570957550243,-65.0309211927709
CORDOBA,San Javier,Quebrada de los Pozos,398,0,0,0,0,1,1,0,0,0,14133160.0,-31.9074953420069,-65.0344580207268
CORDOBA,San Javier,San Javier y Yacanto,1210,0,0,0,0,0,1,1,1,1,14133170.0,-32.0266518585481,-65.027552227227
CORDOBA,San Javier,San José,967,0,0,0,0,0,1,1,1,1,14133180.0,-31.9573259005881,-65.3152083482463
LA RIOJA,Chilecito,Colonia Anguinán,225,0,1,0,1,0,1,1,0,0,46042020.0,-29.2540980171571,-67.426136513409
LA RIOJA,Chilecito,Colonia Catinzaco,33,0,0,0,0,0,0,0,0,0,46042030.0,-29.6731660020358,-67.3823669132229
LA RIOJA,Chilecito,Colonia Malligasta,482,0,0,0,0,0,0,0,0,0,46042040.0,-29.2029666175252,-67.4003467202303
LA RIOJA,Chilecito,Colonia Vichigasta,272,0,0,0,0,1,0,0,0,0,46042050.0,-29.4490716382323,-67.4914198732182
LA RIOJA,Chilecito,Guanchín,284,0,0,0,0,0,1,0,0,0,46042060.0,-29.1927256872976,-67.6392754274079
LA RIOJA,Chilecito,La Puntilla,0,0,0,0,0,0,0,0,0,0,46042030.0,-29.1484698105368,-67.4191244361359
LA RIOJA,Chilecito,Los Sarmientos,0,0,0,0,0,0,0,0,0,1,46042030.0,-29.1517467165263,-67.4826010369502
LA RIOJA,Chilecito,Malligasta,1668,0,0,0,0,0,1,1,0,0,46042070.0,-29.1772024890585,-67.4408316312776
LA RIOJA,Chilecito,Miranda,171,0,0,0,0,0,0,1,0,0,46042080.0,-29.3410380679447,-67.6618699588305
LA RIOJA,Chilecito,Nonogasta,6937,1,1,0,1,1,1,1,1,1,46042090.0,-29.3040959439682,-67.5072784622018
LA RIOJA,Chilecito,San Miguel,0,0,0,0,0,0,0,0,0,0,46042030.0,-29.184674818415,-67.4780826682806
LA RIOJA,Chilecito,San Nicolás,153,0,0,0,0,0,1,0,0,0,46042100.0,-29.1217634888802,-67.475895961327
LA RIOJA,Chilecito,Santa Florentina,129,0,0,0,0,0,1,0,0,0,46042110.0,-29.1330615805931,-67.5576081781931
LA RIOJA,Chilecito,Sañogasta,1805,0,0,0,0,0,1,1,1,1,46042120.0,-29.3203738957214,-67.6277959527272
LA RIOJA,Chilecito,Tilimuqui,279,0,0,0,0,0,1,0,0,0,46042130.0,-29.1494438672162,-67.4296645756575
LA RIOJA,Chilecito,Vichigasta,3016,1,0,0,1,1,1,1,1,1,46042140.0,-29.4885973737241,-67.50228520978
LA RIOJA,Coronel Felipe Varela,Aicuña,219,0,0,0,0,0,1,0,0,0,46028010.0,-29.4772470519152,-67.7729134098149
LA RIOJA,Coronel Felipe Varela,Guandacol,2525,0,1,0,1,1,0,1,0,1,46028020.0,-29.509859321691,-68.5522045398452
LA RIOJA,Coronel Felipe Varela,Los Palacios,512,0,0,0,0,0,1,0,0,1,46028030.0,-29.3713119289112,-68.2271328398885
NEUQUEN,Zapala,Mariano Moreno,2660,1,0,1,0,1,1,1,0,0,58112020.0,-38.7642591265553,-70.0386669795207
NEUQUEN,Zapala,Ramon M. Castro,125,0,0,0,0,0,0,0,0,1,58112030.0,-38.865500620555,-69.750265287383
NEUQUEN,Zapala,Zapala,32097,1,0,1,1,1,1,1,1,1,58112040.0,-38.8961687323721,-70.0668545323772
RIO NEGRO,25 de Mayo,Aguada de Guerra,126,0,0,0,0,0,1,0,0,0,62091010.0,-41.0639017102391,-68.3843810353051
RIO NEGRO,25 de Mayo,Clemente Onelli,114,0,0,0,1,0,0,0,0,0,62091020.0,-41.2448350046555,-70.0342029410146
RIO NEGRO,25 de Mayo,Colan Conhue,76,0,0,0,0,1,0,1,0,0,62091030.0,-40.6706084126156,-69.1112545579991
RIO NEGRO,25 de Mayo,El Caín,176,0,0,0,0,1,0,1,0,0,62091040.0,-41.8182874251641,-68.0774152377244
RIO NEGRO,25 de Mayo,Ingeniero Jacobacci,6261,1,0,1,1,1,1,1,1,1,62091050.0,-41.3268134240327,-69.5441263890306
RIO NEGRO,25 de Mayo,Los Menucos,5187,0,0,0,0,1,1,0,0,1,62091060.0,-40.8451911426273,-68.0832025061279
RIO NEGRO,25 de Mayo,Maquinchao,2494,0,0,0,0,1,1,1,0,1,62091070.0,-41.2475165638608,-68.7003410687453
