Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,83 Mbps
ENTRE RIOS,Uruguay,Villa San Marcial (Est. Gobernador Urquiza),30098150,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Victoria,Molino Doll,30105040,,,,,,,,,,,7,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Victoria,Rincón de Nogoyá,30105040,,,,,,,,14,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Victoria,Victoria,30105060,,,,,,,,133,,,48,,,120,,,,,23,825,,,,,,2.286,,,,,,,167,,,,865,,,,,,,,,,,35,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
ENTRE RIOS,Villaguay,Estación Raíces,30113010,,,,,,,,2,,,,,,,,,,,,11,,,,,,19,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Villaguay,Ingeniero Miguel Sajaroff,30113020,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Villaguay,Jubileo,30113030,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Villaguay,Paso de la Laguna,30113050,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Villaguay,Villa Clara,30113060,,,,1,,,,1,,,42,,,51,,,,,1,31,,,,,,57,,,,,,,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Villaguay,Villa Domínguez,30113070,,,,,,,,,,,,,,30,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Villaguay,Villaguay,30113080,0,,,,,,108,14,,,,,,32,,384,,,,1.015,,,,56,,1.397,,,,,,,105,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,2.866,,,,,,,,,,,,,,,,,
FORMOSA,Bermejo,Fortín Soledad,34007003,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Bermejo,Guadalcazar,34007005,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Bermejo,La Rinconada,34007007,,,,,5,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Bermejo,Laguna Yema,34007010,,,,2,,,,,,,,,,26,,,17,,,2,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Bermejo,Lamadrid,34007015,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Bermejo,Los Chiriguanos,34007020,,,,,,,,,,,,,,16,,,5,,,4,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Bermejo,Pozo de Maza,34007030,,,,1,3,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Bermejo,Pozo del Mortero,34007040,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Bermejo,Vaca Perdida,34007050,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Formosa,Colonia Pastoril,34014010,,,,,,,,,,,,,,58,,,2,,4,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Formosa,Formosa,34014020,152,,,5,,,,180,,,4,,,4.597,,,1.886,,889,1.874,,2,,1,,9.196,,,,,,,469,,,,3.626,,,,,,,,,,,202,,,,,,,,32,,,,,,940,,,,,,,,,,,,,,,,,
FORMOSA,Formosa,Gran Guardia,34014030,0,,,,,,,,,,,,,35,,,13,,,5,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Formosa,Mariano Boedo,34014040,,,,,,,,,,,,,,14,,,5,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Formosa,Mojón de Fierro,34014050,0,,,1,,,,,,,,,,17,,,2,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Formosa,San Hilario,34014060,,,,1,,,,,,,,,,11,,,,,6,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
