Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2022,4,Buenos Aires,28.934,23.347,259.866,281.550,244.555,98.670,3.760.109,97.634,4.794.665
2022,4,Capital Federal,516,5.096,31.320,64.653,36.336,8.116,1.299.117,106.772,1.551.926
2022,4,Catamarca,71,315,2.716,5.028,4.638,3.122,52.739,2.280,70.909
2022,4,Chaco,461,771,16.067,17.846,6.704,3.039,94.866,3.909,143.663
2022,4,Chubut,109,1.614,46.457,31.007,34.728,15.770,19.048,20.026,168.759
2022,4,Córdoba,99,9.929,143.686,108.195,63.120,20.691,686.330,17.610,1.049.660
2022,4,Corrientes,67,3.282,22.647,24.858,7.025,3.770,85.806,7.998,155.453
2022,4,Entre Ríos,107,4.722,45.629,46.700,20.927,22.483,130.406,0,270.974
2022,4,Formosa,84,245,22.458,12.391,6.724,310,18.930,698,61.840
2022,4,Jujuy,58,1.763,18.652,14.070,36.430,335,46.910,0,118.218
2022,4,La Pampa,68,1.687,52.618,10.334,9.167,4.479,19.783,16.028,114.164
2022,4,La Rioja,18,595,2.531,3.010,24.435,5.029,50.644,0,86.262
2022,4,Mendoza,103,2.954,35.541,20.355,35.935,14.909,161.163,21.144,292.104
2022,4,Misiones,51,3.510,35.622,21.373,12.196,3.182,101.745,8.590,186.269
2022,4,Neuquén,168,994,38.814,13.960,13.008,5.739,85.247,2.250,160.180
2022,4,Río Negro,111,1.081,32.053,13.931,20.442,7.335,57.495,29.644,162.092
2022,4,Salta,114,1.197,31.530,71.105,5.036,117,90.014,6.747,205.860
2022,4,San Juan,24,2.027,30.069,11.247,20.440,8.188,19.991,11.840,103.826
2022,4,San Luis,60,624,11.785,24.684,13.981,78.506,2.227,3.353,135.220
2022,4,Santa Cruz,51,6.810,11.616,11.509,10.374,3.236,5.559,1.048,50.203
2022,4,Santa Fe,468,9.374,115.767,194.420,73.345,22.899,453.078,18.340,887.691
2022,4,Santiago Del Estero,178,1.267,26.183,58.136,17.735,661,14.345,989,119.494
2022,4,Tierra Del Fuego,22,902,11.649,13.634,21.365,3.612,1.812,2.264,55.260
2022,4,Tucumán,39,1.562,29.996,35.425,26.369,1.375,153.538,15.118,263.422
2022,3,Buenos Aires,29.985,27.709,290.315,297.915,267.044,124.190,3.618.689,65.821,4.721.668
2022,3,Capital Federal,517,5.742,34.371,67.829,51.946,28.692,1.253.105,105.477,1.547.679
2022,3,Catamarca,71,384,3.107,5.389,5.099,3.737,50.298,2.208,70.293
2022,3,Chaco,461,987,16.782,18.938,8.049,15.828,79.390,3.711,144.146
2022,3,Chubut,109,1.444,45.707,30.940,34.682,15.309,17.563,20.024,165.778
2022,3,Córdoba,99,11.312,153.324,111.615,70.989,27.112,650.344,13.873,1.038.668
2022,3,Corrientes,67,3.865,23.427,23.948,7.776,21.706,56.950,7.107,144.846
2022,3,Entre Ríos,107,5.549,47.210,46.855,18.263,32.021,102.195,16.759,268.959
2022,3,Formosa,97,307,23.538,19.545,6.194,564,17.704,589,68.538
2022,3,Jujuy,58,1.879,19.135,15.254,36.083,519,45.895,0,118.823
2022,3,La Pampa,68,1.887,61.540,9.653,11.592,5.609,22.731,3.012,116.092
2022,3,La Rioja,18,689,2.842,3.375,24.219,5.331,50.390,0,86.864
2022,3,Mendoza,103,2.953,44.232,21.977,48.201,17.243,150.043,4.771,289.523
2022,3,Misiones,51,3.749,36.628,20.758,12.676,19.615,80.330,8.350,182.157
2022,3,Neuquén,134,991,38.485,14.080,9.200,6.700,78.713,14.858,163.161
2022,3,Río Negro,111,1.221,32.936,17.860,27.934,13.629,42.596,24.271,160.558
2022,3,Salta,114,1.490,32.923,71.199,5.662,1.001,85.661,6.491,204.541
2022,3,San Juan,24,2.027,30.324,11.247,22.157,6.780,19.221,11.619,103.399
2022,3,San Luis,60,307,6.563,20.813,12.061,67.438,13,14.815,122.070
2022,3,Santa Cruz,52,6.841,12.342,11.313,11.378,2.333,4.604,647,49.510
2022,3,Santa Fe,468,11.132,132.709,198.588,70.897,57.455,396.352,20.209,887.810
2022,3,Santiago Del Estero,178,1.384,28.357,58.982,16.087,910,12.342,792,119.032
2022,3,Tierra Del Fuego,22,831,12.002,14.815,20.102,1.752,1.021,3.351,53.896
2022,3,Tucumán,39,2.047,32.571,39.018,25.214,4.348,159.600,280,263.117
2022,2,Buenos Aires,30.639,28.323,295.238,307.554,273.954,129.869,3.535.757,65.849,4.667.183
2022,2,Capital Federal,517,5.980,36.036,72.434,55.372,31.571,1.229.254,105.607,1.536.771
2022,2,Catamarca,71,413,3.678,6.155,7.165,3.393,43.926,2.207,67.008
2022,2,Chaco,461,1.047,17.603,20.109,8.391,15.974,76.271,3.708,143.564
2022,2,Chubut,109,1.444,45.804,31.217,34.290,14.526,15.394,20.021,162.805
2022,2,Córdoba,99,11.971,160.486,120.485,71.923,28.645,619.400,13.426,1.026.435
2022,2,Corrientes,67,3.937,24.253,24.842,8.001,21.719,55.071,7.107,144.997
2022,2,Entre Ríos,107,5.656,48.637,48.557,18.512,32.355,98.769,16.759,269.352
2022,2,Formosa,97,407,23.834,19.706,6.330,591,16.326,590,67.881
2022,2,Jujuy,58,1.829,19.458,15.790,37.786,549,37.391,2.453,115.314
2022,2,La Pampa,68,1.887,62.546,9.842,11.800,5.247,17.125,3.012,111.527
2022,2,La Rioja,18,728,3.179,3.890,23.814,5.481,48.920,0,86.030
2022,2,Mendoza,103,2.954,44.961,22.557,64.138,19.543,121.366,3.940,279.562
2022,2,Misiones,51,3.808,37.254,21.712,12.774,19.757,75.107,8.350,178.813
2022,2,Neuquén,134,999,38.826,15.066,9.205,2.039,76.982,18.717,161.968
2022,2,Río Negro,111,1.227,33.364,17.938,27.168,13.714,41.972,24.270,159.764
2022,2,Salta,114,1.530,33.732,72.661,6.012,1.156,81.478,6.494,203.177
2022,2,San Juan,24,2.027,30.385,11.276,24.649,3.728,16.701,11.617,100.407
2022,2,San Luis,60,306,6.840,21.217,11.052,67.438,13,14.815,121.741
2022,2,Santa Cruz,52,6.841,12.348,11.369,11.885,2.454,3.592,644,49.185
2022,2,Santa Fe,468,11.757,138.534,204.381,74.133,58.114,373.888,17.584,878.859
2022,2,Santiago Del Estero,178,1.401,29.581,59.931,14.606,883,10.672,792,118.044
2022,2,Tierra Del Fuego,22,831,12.052,14.828,19.968,1.712,1.006,3.351,53.770
2022,2,Tucumán,39,2.195,34.461,43.513,23.634,4.863,145.541,281,254.527
2022,1,Buenos Aires,31.591,30.056,313.382,321.756,290.127,161.183,3.381.049,26.280,4.555.424
2022,1,Capital Federal,527,5.575,39.918,77.390,61.053,43.289,1.188.072,1.717,1.417.541
2022,1,Catamarca,71,456,4.386,7.009,8.773,3.761,35.715,2.207,62.378
2022,1,Chaco,461,1.099,16.888,21.235,20.898,13.012,62.946,7.580,144.119
2022,1,Chubut,113,1.677,61.369,31.856,33.080,13.871,14.055,15.607,171.628
2022,1,Córdoba,100,12.782,165.922,126.009,73.967,34.892,577.027,13.104,1.003.803
2022,1,Corrientes,67,4.029,24.563,25.665,27.077,10.452,43.631,7.094,142.578
2022,1,Entre Ríos,107,5.745,50.075,49.620,42.294,21.578,81.757,16.750,267.926
2022,1,Formosa,97,448,24.113,6.945,6.613,716,15.028,588,54.548
