Provincia,Año,Trimestre,ADSL,Cablemodem,Fibra optica,Wireless,Total Tecnologia,Mbps (Media de bajada),Tasa de crecimiento Velocidad,Accesos por cada 100 hogares,Tasa de Crecimiento Penetracion,Ingresos (miles de pesos),Ingresos (miles USD),Tasa de Crecimiento Ingresos
Capital Federal,2022,3,9.287666931417277,81.80826866293904,8.524222042203535,0.37984236344013955,1515892,101.06,1.08,122.28,9.894850363979524,64086784.33,502.82,10.94391244870041
Catamarca,2022,3,14.708043139674984,15.42067060448441,67.91854006876488,1.9527461870757294,68058,61.0,1.08,65.33,23.94232593435781,64086784.33,502.82,10.94391244870041
Chaco,2022,3,19.158314937194522,43.586506520343896,31.48737190292481,5.7678066395367695,141787,53.22,1.05,43.86,2.0949720670391025,64086784.33,502.82,10.94391244870041
Chubut,2022,3,28.912307976578084,46.01043664421747,6.100148457759626,18.97710692144482,156947,15.57,1.04,84.38,4.547144096146694,64086784.33,502.82,10.94391244870041
Córdoba,2022,3,15.917447376784843,45.23997663458296,32.90694363044541,5.935632358186789,1028871,56.3,1.05,88.31,8.649114173228355,64086784.33,502.82,10.94391244870041
Corrientes,2022,3,26.166295162804698,55.288375393304335,13.344753194813757,5.200576249077213,139523,45.06,1.04,48.21,7.371937639198234,64086784.33,502.82,10.94391244870041
Entre Ríos,2022,3,23.53861276456316,51.8602310758837,14.421179095511885,10.179977064041253,256366,42.5,1.06,63.67,2.3962688967513746,64086784.33,502.82,10.94391244870041
Formosa,2022,3,21.177882504463895,37.87723560577233,16.159295143869098,24.78558674589468,68326,30.34,1.07,43.76,28.857479387514708,64086784.33,502.82,10.94391244870041
Jujuy,2022,3,16.538131226382685,45.49811061490897,34.500171762281,3.463586396427345,116440,32.44,1.1,58.91,5.782007541748957,64086784.33,502.82,10.94391244870041
La Pampa,2022,3,6.983097607509786,53.81356311749268,21.095296530844404,18.10804274415313,111641,18.1,1.13,96.59,14.606074988134798,64086784.33,502.82,10.94391244870041
La Rioja,2022,3,7.879492819550171,62.07202330911059,22.68377229855009,7.364711572789147,86833,44.3,1.02,80.66,4.400724825265323,64086784.33,502.82,10.94391244870041
Mendoza,2022,3,13.132722130584431,27.49993897271906,49.733746691449554,9.633592205246952,286757,34.16,1.15,51.03,12.030735455543361,64086784.33,502.82,10.94391244870041
Misiones,2022,3,20.347208296330248,50.9364883834188,22.371444122955282,6.344859197295671,174535,49.3,1.07,51.82,13.71516348474875,64086784.33,502.82,10.94391244870041
Neuquén,2022,3,18.11348699435342,46.78638649757783,18.140639945694097,16.95948656237465,162045,47.8,1.03,80.37,15.29192368383303,64086784.33,502.82,10.94391244870041
Río Negro,2022,3,25.109295213611226,34.084568716496335,28.969058330802532,11.837077739089901,141589,34.12,1.03,67.98,9.698241084395676,64086784.33,502.82,10.94391244870041
Salta,2022,3,20.27406423887374,49.14912378500552,25.46750048143681,5.109311494683924,197326,41.34,1.07,57.76,3.216583273766971,64086784.33,502.82,10.94391244870041
San Juan,2022,3,40.395471350321,23.798452048051445,12.911469297556582,22.894607304070966,95481,15.84,1.1,50.8,28.73796249366447,64086784.33,502.82,10.94391244870041
San Luis,2022,3,6.406125974693001,27.42027361441845,0.23159172619881402,65.94200868468974,107085,19.33,1.0,81.74,2.3413046200075005,64086784.33,502.82,10.94391244870041
Santa Cruz,2022,3,20.785644211903204,49.14772727272727,22.103907782864617,7.962720732504905,48928,12.6,1.07,43.19,-1.2800000000000034,64086784.33,502.82,10.94391244870041
Santa Fe,2022,3,21.161790839872253,49.092843988515,24.78385005464934,4.961515116963409,868263,45.16,1.07,78.55,4.705411890162625,64086784.33,502.82,10.94391244870041
Santiago Del Estero,2022,3,13.250366032210833,69.70717423133236,11.34269227456722,5.6997674618895875,116110,17.69,1.08,47.98,2.0851063829787186,64086784.33,502.82,10.94391244870041
Tierra Del Fuego,2022,3,23.953422856606256,75.05493473565593,0.7568785801483707,0.234763827589445,53245,11.01,1.0,99.51,4.80252764612954,64086784.33,502.82,10.94391244870041
Tucumán,2022,3,29.603424245424563,7.051843502235355,61.82263383574894,1.5220984165911393,262598,53.38,1.07,61.14,11.896046852122977,64086784.33,502.82,10.94391244870041
Buenos Aires,2022,2,7.629246620272815,59.171481379544424,30.43942164700712,2.7598503531756435,4596155,65.5,1.05,77.58,10.828571428571433,60419500.62,474.05,17.615680436670388
Capital Federal,2022,2,9.66730454889766,81.87656978830283,8.073595662400828,0.3825300003986764,1504980,94.0,1.07,121.31,10.14163791538043,60419500.62,474.05,17.615680436670388
Catamarca,2022,2,18.41479606014759,14.558310433198507,64.97514434804089,2.0517491586130236,64774,56.56,1.1,62.4,19.220481467328998,60419500.62,474.05,17.615680436670388
Chaco,2022,2,20.92799274828622,43.39980737635262,29.880743300662854,5.7914565746983175,141208,50.62,1.1,43.79,1.0616201246249624,60419500.62,474.05,17.615680436670388
Chubut,2022,2,29.46998577709658,44.96905381972633,6.2178117511056845,19.343148652071413,153977,14.91,1.11,83.19,15.07815742149674,60419500.62,474.05,17.615680436670388
